Target Distance: 50, Step Length: 2
144: (x, y) = (-15.8401, -10.775)
145: (x, y) = (-17.7311, -10.1239)
146: (x, y) = (-19.3071, -8.89257)
147: (x, y) = (-20.2461, -7.12667)
148: (x, y) = (-21.9042, -8.24506)
149: (x, y) = (-20.7286, -9.86309)
150: (x, y) = (-19.3393, -11.3018)
151: (x, y) = (-17.9753, -9.83906)
152: (x, y) = (-17.7315, -11.8242)
153: (x, y) = (-17.6617, -13.8229)
154: (x, y) = (-19.6105, -13.373)
155: (x, y) = (-17.9722, -14.5202)
156: (x, y) = (-19.4349, -13.1562)
157: (x, y) = (-18.3456, -11.4788)
158: (x, y) = (-16.3605, -11.2351)
159: (x, y) = (-15.8767, -9.29452)
160: (x, y) = (-15.0632, -7.46743)
161: (x, y) = (-15.133, -5.46865)
162: (x, y) = (-17.122, -5.25959)
163: (x, y) = (-15.6357, -6.59785)
164: (x, y) = (-15.7055, -8.59663)
165: (x, y) = (-17.6906, -8.84037)
166: (x, y) = (-16.1363, -7.58173)
167: (x, y) = (-16.7544, -9.48384)
168: (x, y) = (-16.476, -11.4644)
169: (x, y) = (-14.6634, -12.3096)
170: (x, y) = (-14.8029, -10.3145)
171: (x, y) = (-16.6573, -11.0637)
172: (x, y) = (-16.0062, -9.17266)
173: (x, y) = (-17.5382, -10.4582)
174: (x, y) = (-19.3793, -9.67678)
175: (x, y) = (-20.5829, -8.07951)
176: (x, y) = (-20.2013, -10.0428)
177: (x, y) = (-22.1709, -10.3901)
178: (x, y) = (-20.7082, -9.02606)
179: (x, y) = (-20.9865, -7.04552)
180: (x, y) = (-22.0464, -5.34943)
181: (x, y) = (-22.1162, -3.35065)
182: (x, y) = (-24.1085, -3.52496)
183: (x, y) = (-25.9212, -2.67972)
184: (x, y) = (-25.5395, -4.64297)
185: (x, y) = (-24.5395, -2.91092)
186: (x, y) = (-24.7139, -0.918535)
187: (x, y) = (-23.8059, -2.70055)
188: (x, y) = (-21.8653, -2.2167)
189: (x, y) = (-20.1692, -3.27654)
190: (x, y) = (-19.0799, -4.95388)
191: (x, y) = (-19.0101, -6.95267)
192: (x, y) = (-20.6875, -8.04194)
193: (x, y) = (-22.3055, -9.21751)
194: (x, y) = (-21.9926, -11.1929)
195: (x, y) = (-20.1383, -10.4437)
196: (x, y) = (-18.2472, -11.0948)
197: (x, y) = (-16.3247, -10.5435)
198: (x, y) = (-15.5432, -12.3845)
199: (x, y) = (-17.0526, -13.6967)
200: (x, y) = (-19.0332, -13.4183)
201: (x, y) = (-20.8876, -14.1675)
202: (x, y) = (-22.1731, -15.6996)
203: (x, y) = (-21.6555, -13.7678)
204: (x, y) = (-23.5873, -13.2501)
205: (x, y) = (-23.7617, -11.2577)
206: (x, y) = (-24.5109, -9.40338)
207: (x, y) = (-26.3902, -10.0874)
208: (x, y) = (-25.1589, -11.6634)
209: (x, y) = (-23.7447, -13.0777)
210: (x, y) = (-25.742, -12.973)
211: (x, y) = (-24.0459, -11.9131)
212: (x, y) = (-22.0608, -12.1569)
213: (x, y) = (-23.9152, -11.4077)
214: (x, y) = (-23.8454, -9.40888)
215: (x, y) = (-21.9543, -8.75775)
216: (x, y) = (-20.9543, -7.0257)
217: (x, y) = (-22.9531, -6.9559)
218: (x, y) = (-24.9227, -6.6086)
219: (x, y) = (-25.7042, -4.76759)
220: (x, y) = (-26.4534, -6.62196)
221: (x, y) = (-27.8676, -8.03617)
222: (x, y) = (-26.1903, -9.12545)
223: (x, y) = (-24.2149, -8.81258)
224: (x, y) = (-25.0601, -6.99997)
225: (x, y) = (-26.0297, -5.25073)
226: (x, y) = (-26.8432, -7.07782)
227: (x, y) = (-25.0612, -6.16984)
228: (x, y) = (-27.0417, -6.44818)
229: (x, y) = (-25.4874, -7.70682)
230: (x, y) = (-27.2195, -6.70682)
231: (x, y) = (-28.3666, -5.06852)
232: (x, y) = (-30.3654, -5.13832)
233: (x, y) = (-28.5995, -4.19938)
234: (x, y) = (-28.5646, -6.19907)
235: (x, y) = (-28.047, -4.26722)
236: (x, y) = (-29.1654, -5.9253)
237: (x, y) = (-27.1848, -6.20364)
238: (x, y) = (-29.0642, -6.88768)
239: (x, y) = (-27.067, -6.78301)
240: (x, y) = (-25.6528, -5.3688)
241: (x, y) = (-24.5929, -7.06489)
242: (x, y) = (-22.9348, -5.94651)
243: (x, y) = (-22.5875, -7.91612)
244: (x, y) = (-22.6224, -5.91643)
245: (x, y) = (-20.6224, -5.91643)
246: (x, y) = (-19.6528, -4.16719)
247: (x, y) = (-21.0168, -2.70448)
248: (x, y) = (-23.0156, -2.77428)
249: (x, y) = (-24.7648, -3.7439)
250: (x, y) = (-23.9514, -1.91681)
251: (x, y) = (-23.4675, -3.8574)
252: (x, y) = (-23.1892, -5.83793)
253: (x, y) = (-23.2241, -7.83763)
254: (x, y) = (-22.8768, -9.80725)
255: (x, y) = (-22.4952, -7.84399)
256: (x, y) = (-23.9094, -9.2582)
257: (x, y) = (-25.7638, -10.0074)
258: (x, y) = (-27.4781, -11.0375)
259: (x, y) = (-29.3691, -11.6886)
260: (x, y) = (-30.429, -9.99253)
261: (x, y) = (-28.6969, -8.99253)
262: (x, y) = (-30.6375, -9.47638)
263: (x, y) = (-32.1918, -10.735)
264: (x, y) = (-33.7012, -9.4229)
265: (x, y) = (-35.0905, -10.8616)
266: (x, y) = (-33.168, -10.3103)
267: (x, y) = (-31.9367, -8.73428)
268: (x, y) = (-30.498, -10.1236)
269: (x, y) = (-29.1597, -8.63731)
270: (x, y) = (-29.4726, -10.6127)
271: (x, y) = (-29.751, -12.5932)
272: (x, y) = (-30.0983, -10.6236)
273: (x, y) = (-30.6495, -8.70109)
274: (x, y) = (-29.0523, -7.49746)
275: (x, y) = (-30.9194, -8.21419)
276: (x, y) = (-31.0937, -6.2218)
277: (x, y) = (-32.7711, -5.13252)
278: (x, y) = (-34.7601, -5.34158)
279: (x, y) = (-36.7574, -5.23691)
280: (x, y) = (-37.7574, -3.50486)
281: (x, y) = (-37.3758, -5.46811)
282: (x, y) = (-35.7997, -4.23679)
283: (x, y) = (-34.0505, -5.20641)
284: (x, y) = (-32.2379, -4.36117)
285: (x, y) = (-33.7922, -5.61981)
286: (x, y) = (-31.8289, -5.23819)
287: (x, y) = (-31.2776, -3.31567)
288: (x, y) = (-33.27, -3.48998)
289: (x, y) = (-31.7606, -4.8021)
290: (x, y) = (-33.7497, -4.59304)
291: (x, y) = (-34.4989, -2.73868)
292: (x, y) = (-35.3123, -4.56577)
293: (x, y) = (-36.751, -5.95508)
294: (x, y) = (-34.7659, -6.19882)
295: (x, y) = (-33.4277, -7.68511)
296: (x, y) = (-35.4082, -7.96346)
297: (x, y) = (-35.1299, -9.94399)
298: (x, y) = (-37.1271, -9.83932)
299: (x, y) = (-37.1969, -11.8381)
300: (x, y) = (-38.729, -13.1237)
301: (x, y) = (-37.153, -11.8924)
302: (x, y) = (-39.1162, -12.274)
303: (x, y) = (-41.0184, -11.6559)
304: (x, y) = (-41.2274, -13.645)
305: (x, y) = (-42.9235, -14.7048)
306: (x, y) = (-43.737, -12.8777)
307: (x, y) = (-42.2743, -14.2417)
308: (x, y) = (-43.8286, -12.9831)
309: (x, y) = (-42.653, -11.3651)
310: (x, y) = (-44.3303, -12.4543)
311: (x, y) = (-44.0175, -10.479)
312: (x, y) = (-42.4414, -11.7103)
313: (x, y) = (-40.5743, -12.427)
314: (x, y) = (-42.5497, -12.7399)
315: (x, y) = (-44.3473, -13.6166)
316: (x, y) = (-44.2426, -15.6139)
317: (x, y) = (-45.9569, -16.644)
318: (x, y) = (-47.3711, -15.2297)
319: (x, y) = (-48.7853, -16.644)
After 319 steps, the subject has the following location:
(x, y) = (-48.7853, -16.644)
or
(m, a) = (51.5464, -161.162)
Average outward distance per step = 0.161587

Target Distance: 100, Step Length: 20
0: (x, y) = (0, 0)
1: (x, y) = (17.4924, -9.69619)
2: (x, y) = (3.1056, 4.19698)
3: (x, y) = (18.1998, -8.92421)
4: (x, y) = (0.540838, 0.465226)
5: (x, y) = (13.662, 15.5594)
6: (x, y) = (-6.22842, 17.65)
7: (x, y) = (-23.3718, 7.34923)
8: (x, y) = (-26.8447, 27.0454)
9: (x, y) = (-13.4621, 41.9083)
10: (x, y) = (-31.2822, 32.8285)
11: (x, y) = (-40.9784, 15.3361)
12: (x, y) = (-21.4155, 19.4943)
13: (x, y) = (-32.5993, 2.91355)
14: (x, y) = (-30.162, 22.7645)
15: (x, y) = (-35.6747, 3.53924)
16: (x, y) = (-40.8511, -15.7793)
17: (x, y) = (-31.7713, -33.5994)
18: (x, y) = (-51.6617, -31.5088)
19: (x, y) = (-32.6406, -25.3285)
20: (x, y) = (-49.2213, -14.1446)
21: (x, y) = (-67.765, -6.6525)
22: (x, y) = (-79.8013, -22.6252)
23: (x, y) = (-73.621, -41.6463)
24: (x, y) = (-57.2379, -30.1748)
25: (x, y) = (-72.3321, -17.0536)
26: (x, y) = (-81.7216, 0.605317)
27: (x, y) = (-89.5362, 19.0154)
28: (x, y) = (-76.9498, 3.47249)
29: (x, y) = (-77.6478, 23.4603)
30: (x, y) = (-57.9516, 19.9873)
31: (x, y) = (-71.5916, 5.36027)
32: (x, y) = (-63.4568, -12.9106)
33: (x, y) = (-81.277, -21.9904)
34: (x, y) = (-99.4031, -30.4428)
After 34 steps, the subject has the following location:
(x, y) = (-99.4031, -30.4428)
or
(m, a) = (103.96, -162.972)
Average outward distance per step = 3.05766

